addr,name,comment
0x42017300,FSK_StartMatchPhase,bitrate rotation 57.6/76.19/38.15 for step 0
0x42017390,FSK_StartPrePass,RSSI pre-pass init at 100 kbps
0x42017e00,LoRa_ScanStart,detect_fpv 1 -> LoRa_StartMode1, 2 -> LoRa_StartMode2
0x42017c20,LoRa_StartMode1,begin(f,500k,sf_first,cr7,0x12,10,8); iterations 8/6
0x42017d38,LoRa_StartMode2,begin(f,500k,sf,cr7,0x12,10,8); iterations 3/2
0x42017e58,LoRa_TickMode1,CAD SF6..9, 50 ms window; confirm 6g+3b+t>=6 and dominant SF count
0x420180f0,LoRa_TickMode2,CAD+RX; confirm 6g+3b>=6 and (g>=1 or b>=2)
0x420181e8,LoRa_Tick,LoRa scanner state machine; step 125 kHz
0x42018388,LoRa_InitSpreadingFactors,sf list init
0x42018480,LoRa_Autosearch,autolora: CR7 BW500 pre8 sync0x12 gain1; SF6..9
0x42018668,RSSI_ScanTick,RSSI scan; +15 dB corr; callback if peak > -rssi_scn_tresh
0x420189a4,RSSI_ScanStart,beginFSK(start/1e6,100,76.7,afcbw,10,16)
0x42019818,UnknownDrone_Search,linear FSK search, 1,800,000 ms budget
0x42019b34,SX127x_Init,SPI 7/6/8/9 @10 MHz; beginFSK 755 MHz; image cal; AFC; agc
0x42016b50,FHSS_BurstDetector,FHSS/Brst detector
0x420196b4,SX1276Scanner_Instance,singleton accessor
0x4201598c,CoT_SendEvent,CoT XML event a-h-A-M-F-Q, stale +3600 s
0x42015dc0,CoT_SendCircleEvent,UTF-16 CoT template
0x42015750,Alarm_EmitCsv,detect;... line
0x42015870,Alarm_EmitJson,JSON detect line
0x42016160,Alarm_ZalaVideo,alarm dispatch for Zala video / FPV5
0x42016230,Alarm_DJI,alarm dispatch for DJI
0x4201a038,TwinLink_Init,SX1278 begin(901.2, 62.5k, sf8, cr7, 0x35, 10, 8)
0x4201a1a0,Meshtastic_Send,LongFast preset TX
0x42018c8c,Capture_Build,capture record (0x24 bytes)
0x42018cc8,Capture_Store,append to /fsk_data.bin
0x42018dbc,Capture_Dump,print captures
0x4201d668,SX127x_beginFSK,RadioLib SX127x::beginFSK
0x4201da3c,SX1278_begin,RadioLib SX1278::begin (LoRa)
0x4201daf0,SX1278_setBwSf500Opt,custom bw/sf set with 500 kHz optimise regs 0x36/0x3A
0x4201e6e8,SX127x_setSpreadingFactor,
0x4201e7e4,SX127x_setCodingRate,
0x4201f460,SX127x_setPreambleLength,
0x4201e880,SX127x_implicitHeader,
0x4201e314,SX127x_setCRC,
0x4201f428,SX127x_setSyncWord,reg 0x39
0x4201e0a8,SX1278_setGain,reg 0x0C/0x26
0x4201db6c,SX127x_setLnaBoostHf,reg 0x0C bits1:0 = 3 when enabled
0x4201da18,SX127x_setAgcAuto,reg 0x26 bit 2
0x4201fae0,SX127x_setActiveModem,reg 0x01 bit 7
0x4201e3bc,SX1278_setBandwidth,
0x4201d6f4,SX127x_mySetSF,reg 0x1E=0x60, reg 0x31 detect-optimise
0x4201d830,SX127x_myPrepareScanChannel,reg 0x40 = 0xA0 (DIO0 CadDone/DIO1 CadDetected)
0x4201d850,SX127x_scanChannel,CAD; -14 preamble detected / -15 channel free
0x4201d97c,SX127x_receiveFast,RXSINGLE + FIFO read
0x4201dab0,SX127x_setSymbTimeout,reg 0x1F
0x4201d8b4,SX127x_restartReceiveFast,
0x4201f4f8,SX127x_setBitRate,
0x4201ee14,SX127x_setAFC,reg 0x0D bit 4 (AfcAutoOn)
0x4201d7dc,SX127x_imageCalibration,reg 0x3B
0x4201db94,SX127x_setFifoBase,regs 0x0F/0x0D
0x4201fd18,SX127x_startReceive,
0x4201edd4,SX127x_getSNR,reg 0x19 * 0.25
0x4201e270,SX127x_getRSSI,reg 0x1A - 157 (HF)
0x4202127c,SX128x_beginFSK,
0x420213a8,SX128x_begin,LoRa
0x42020e58,SX128x_setCodingRate,
0x42020dd0,SX128x_setSpreadingFactor,
0x42021844,SX128x_receive,
0x4202193c,SX128x_getSNR,
0x420214e0,SX128x_getFrequencyError,
0x42021910,SX128x_getRSSI,-(reg 0x1F >> 1)
0x42020c28,SX128x_startReceive,
0x420206c8,SX128x_sleep,
0x42020368,SX128x_reset,
0x420c799c,Cfg_RssiThresholdDbm,-(rssi_threshold >> 1)
0x420c78a8,A5133_WindowShapeTest,16-sample window peak-shape test (immediate 5.8 GHz confirm)
0x4201cf58,Prefs_getUChar,
0x4201cf28,Prefs_getChar,
0x4201cf88,Prefs_getUShort,
0x4201cfe0,Prefs_getInt,
0x4201d020,Prefs_getBool,
0x4201d130,Prefs_getFloat,
0x4201d03c,Prefs_getString,
0x4201cc70,Prefs_putUChar,
0x4201ccb4,Prefs_putUShort,
0x4201cd24,Prefs_putInt,
